+1	U+1F44D
man_in_motorized_wheelchair	U+1F468 U+1F9BC
man_in_tuxedo	U+1F935 U+2642
man_judge	U+1F468 U+2696
man_juggling	U+1F939 U+2642
man_mechanic	U+1F468 U+1F527
man_office_worker	U+1F468 U+1F4BC
man_pilot	U+1F468 U+2708
man_playing_handball	U+1F93E U+2642
man_playing_water_polo	U+1F93D U+2642
man_scientist	U+1F468 U+1F52C
man_shrugging	U+1F937 U+2642
man_singer	U+1F468 U+1F3A4
man_student	U+1F468 U+1F393
man_teacher	U+1F468 U+1F3EB
man_technologist	U+1F468 U+1F4BB
man_with_gua_pi_mao	U+1F472
man_with_probing_cane	U+1F468 U+1F9AF
man_with_turban	U+1F473 U+2642
man_with_veil	U+1F470 U+2642
mandarin	U+1F34A
mango	U+1F96D
mans_shoe	U+1F45E
mantelpiece_clock	U+1F570
manual_wheelchair	U+1F9BD
maple_leaf	U+1F341
marshall_islands	U+1F1F2 U+1F1ED
martial_arts_uniform	U+1F94B
martinique	U+1F1F2 U+1F1F6
mask	U+1F637
massage	U+1F486
massage_man	U+1F486 U+2642
massage_woman	U+1F486 U+2640
mate	U+1F9C9
mauritania	U+1F1F2 U+1F1F7
mauritius	U+1F1F2 U+1F1FA
mayotte	U+1F1FE U+1F1F9
meat_on_bone	U+1F356
mechanic	U+1F9D1 U+1F527
mechanical_arm	U+1F9BE
mechanical_leg	U+1F9BF
medal_military	U+1F396
medal_sports	U+1F3C5
medical_symbol	U+2695
mega	U+1F4E3
melon	U+1F348
memo	U+1F4DD
men_wrestling	U+1F93C U+2642
mending_heart	U+2764 U+1FA79
menorah	U+1F54E
mens	U+1F6B9
mermaid	U+1F9DC U+2640
merman	U+1F9DC U+2642
merperson	U+1F9DC
metal	U+1F918
metro	U+1F687
mexico	U+1F1F2 U+1F1FD
microbe	U+1F9A0
micronesia	U+1F1EB U+1F1F2
microphone	U+1F3A4
microscope	U+1F52C
middle_finger	U+1F595
military_helmet	U+1FA96
milk_glass	U+1F95B
milky_way	U+1F30C
minibus	U+1F690
minidisc	U+1F4BD
mirror	U+1FA9E
mobile_phone_off	U+1F4F4
moldova	U+1F1F2 U+1F1E9
monaco	U+1F1F2 U+1F1E8
money_mouth_face	U+1F911
money_with_wings	U+1F4B8
moneybag	U+1F4B0
mongolia	U+1F1F2 U+1F1F3
monkey	U+1F412
monkey_face	U+1F435
monocle_face	U+1F9D0
monorail	U+1F69D
montenegro	U+1F1F2 U+1F1EA
montserrat	U+1F1F2 U+1F1F8
moon	U+1F314
moon_cake	U+1F96E
morocco	U+1F1F2 U+1F1E6
mortar_board	U+1F393
mosque	U+1F54C
mosquito	U+1F99F
motor_boat	U+1F6E5
motor_scooter	U+1F6F5
motorcycle	U+1F3CD
motorized_wheelchair	U+1F9BC
motorway	U+1F6E3
mount_fuji	U+1F5FB
mountain	U+26F0
mountain_bicyclist	U+1F6B5
mountain_biking_man	U+1F6B5 U+2642
mountain_biking_woman	U+1F6B5 U+2640
mountain_cableway	U+1F6A0
mountain_railway	U+1F69E
mountain_snow	U+1F3D4
mouse	U+1F42D
mouse2	U+1F401
mouse_trap	U+1FAA4
movie_camera	U+1F3A5
moyai	U+1F5FF
mozambique	U+1F1F2 U+1F1FF
mrs_claus	U+1F936
muscle	U+1F4AA
mushroom	U+1F344
musical_keyboard	U+1F3B9
musical_note	U+1F3B5
musical_score	U+1F3BC
mute	U+1F507
mx_claus	U+1F9D1 U+1F384
myanmar	U+1F1F2 U+1F1F2
nail_care	U+1F485
name_badge	U+1F4DB
namibia	U+1F1F3 U+1F1E6
national_park	U+1F3DE
nauru	U+1F1F3 U+1F1F7
nauseated_face	U+1F922
nazar_amulet	U+1F9FF
necktie	U+1F454
negative_squared_cross_mark	U+274E
nepal	U+1F1F3 U+1F1F5
nerd_face	U+1F913
nesting_dolls	U+1FA86
netherlands	U+1F1F3 U+1F1F1
neutral_face	U+1F610
new	U+1F195
new_caledonia	U+1F1F3 U+1F1E8
new_moon	U+1F311
new_moon_with_face	U+1F31A
new_zealand	U+1F1F3 U+1F1FF
newspaper	U+1F4F0
newspaper_roll	U+1F5DE
next_track_button	U+23ED
ng	U+1F196
ng_man	U+1F645 U+2642
ng_woman	U+1F645 U+2640
nicaragua	U+1F1F3 U+1F1EE
niger	U+1F1F3 U+1F1EA
nigeria	U+1F1F3 U+1F1EC
night_with_stars	U+1F303
nine	U+0039 U+20E3
ninja	U+1F977
niue	U+1F1F3 U+1F1FA
no_bell	U+1F515
no_bicycles	U+1F6B3
no_entry	U+26D4
no_entry_sign	U+1F6AB
no_good	U+1F645
no_good_man	U+1F645 U+2642
no_good_woman	U+1F645 U+2640
no_mobile_phones	U+1F4F5
no_mouth	U+1F636
no_pedestrians	U+1F6B7
no_smoking	U+1F6AD
non-potable_water	U+1F6B1
norfolk_island	U+1F1F3 U+1F1EB
north_korea	U+1F1F0 U+1F1F5
northern_mariana_islands	U+1F1F2 U+1F1F5
norway	U+1F1F3 U+1F1F4
nose	U+1F443
notebook	U+1F4D3
notebook_with_decorative_cover	U+1F4D4
notes	U+1F3B6
nut_and_bolt	U+1F529
o	U+2B55
o2	U+1F17E
ocean	U+1F30A
octopus	U+1F419
oden	U+1F362
office	U+1F3E2
office_worker	U+1F9D1 U+1F4BC
oil_drum	U+1F6E2
ok	U+1F197
ok_hand	U+1F44C
ok_man	U+1F646 U+2642
ok_person	U+1F646
ok_woman	U+1F646 U+2640
old_key	U+1F5DD
older_adult	U+1F9D3
older_man	U+1F474
older_woman	U+1F475
olive	U+1FAD2
om	U+1F549
oman	U+1F1F4 U+1F1F2
on	U+1F51B
oncoming_automobile	U+1F698
oncoming_bus	U+1F68D
oncoming_police_car	U+1F694
oncoming_taxi	U+1F696
one	U+0031 U+20E3
one_piece_swimsuit	U+1FA71
onion	U+1F9C5
open_book	U+1F4D6
open_file_folder	U+1F4C2
open_hands	U+1F450
open_mouth	U+1F62E
open_umbrella	U+2602
ophiuchus	U+26CE
orange	U+1F34A
orange_book	U+1F4D9
orange_circle	U+1F7E0
orange_heart	U+1F9E1
orange_square	U+1F7E7
orangutan	U+1F9A7
orthodox_cross	U+2626
otter	U+1F9A6
outbox_tray	U+1F4E4
owl	U+1F989
ox	U+1F402
oyster	U+1F9AA
package	U+1F4E6
page_facing_up	U+1F4C4
page_with_curl	U+1F4C3
pager	U+1F4DF
paintbrush	U+1F58C
pakistan	U+1F1F5 U+1F1F0
palau	U+1F1F5 U+1F1FC
palestinian_territories	U+1F1F5 U+1F1F8
palm_tree	U+1F334
palms_up_together	U+1F932
panama	U+1F1F5 U+1F1E6
pancakes	U+1F95E
panda_face	U+1F43C
paperclip	U+1F4CE
paperclips	U+1F587
papua_new_guinea	U+1F1F5 U+1F1EC
parachute	U+1FA82
paraguay	U+1F1F5 U+1F1FE
parasol_on_ground	U+26F1
parking	U+1F17F
parrot	U+1F99C
part_alternation_mark	U+303D
partly_sunny	U+26C5
partying_face	U+1F973
passenger_ship	U+1F6F3
passport_control	U+1F6C2
pause_button	U+23F8
paw_prints	U+1F43E
peace_symbol	U+262E
peach	U+1F351
peacock	U+1F99A
peanuts	U+1F95C
pear	U+1F350
pen	U+1F58A
pencil	U+1F4DD
pencil2	U+270F
penguin	U+1F427
pensive	U+1F614
people_holding_hands	U+1F9D1 U+1F91D U+1F9D1
people_hugging	U+1FAC2
performing_arts	U+1F3AD
persevere	U+1F623
person_bald	U+1F9D1 U+1F9B2
person_curly_hair	U+1F9D1 U+1F9B1
person_feeding_baby	U+1F9D1 U+1F37C
person_fencing	U+1F93A
person_in_manual_wheelchair	U+1F9D1 U+1F9BD
person_in_motorized_wheelchair	U+1F9D1 U+1F9BC
person_in_tuxedo	U+1F935
person_red_hair	U+1F9D1 U+1F9B0
person_white_hair	U+1F9D1 U+1F9B3
person_with_probing_cane	U+1F9D1 U+1F9AF
person_with_turban	U+1F473
person_with_veil	U+1F470
peru	U+1F1F5 U+1F1EA
petri_dish	U+1F9EB
philippines	U+1F1F5 U+1F1ED
phone	U+260E
pick	U+26CF
pickup_truck	U+1F6FB
pie	U+1F967
pig	U+1F437
pig2	U+1F416
pig_nose	U+1F43D
pill	U+1F48A
pilot	U+1F9D1 U+2708
pinata	U+1FA85
pinched_fingers	U+1F90C
pinching_hand	U+1F90F
pineapple	U+1F34D
ping_pong	U+1F3D3
pirate_flag	U+1F3F4 U+2620
pisces	U+2653
pitcairn_islands	U+1F1F5 U+1F1F3
pizza	U+1F355
placard	U+1FAA7
place_of_worship	U+1F6D0
plate_with_cutlery	U+1F37D
play_or_pause_button	U+23EF
pleading_face	U+1F97A
plunger	U+1FAA0
point_down	U+1F447
point_left	U+1F448
point_right	U+1F449
point_up	U+261D
point_up_2	U+1F446
poland	U+1F1F5 U+1F1F1
polar_bear	U+1F43B U+2744
police_car	U+1F693
police_officer	U+1F46E
policeman	U+1F46E U+2642
policewoman	U+1F46E U+2640
poodle	U+1F429
poop	U+1F4A9
popcorn	U+1F37F
portugal	U+1F1F5 U+1F1F9
post_office	U+1F3E3
postal_horn	U+1F4EF
postbox	U+1F4EE
potable_water	U+1F6B0
potato	U+1F954
potted_plant	U+1FAB4
pouch	U+1F45D
poultry_leg	U+1F357
pound	U+1F4B7
pout	U+1F621
pouting_cat	U+1F63E
pouting_face	U+1F64E
pouting_man	U+1F64E U+2642
pouting_woman	U+1F64E U+2640
pray	U+1F64F
prayer_beads	U+1F4FF
pregnant_woman	U+1F930
pretzel	U+1F968
previous_track_button	U+23EE
prince	U+1F934
princess	U+1F478
printer	U+1F5A8
probing_cane	U+1F9AF
puerto_rico	U+1F1F5 U+1F1F7
punch	U+1F44A
purple_circle	U+1F7E3
purple_heart	U+1F49C
purple_square	U+1F7EA
purse	U+1F45B
pushpin	U+1F4CC
put_litter_in_its_place	U+1F6AE
qatar	U+1F1F6 U+1F1E6
question	U+2753
rabbit	U+1F430
rabbit2	U+1F407
raccoon	U+1F99D
racehorse	U+1F40E
racing_car	U+1F3CE
radio	U+1F4FB
radio_button	U+1F518
radioactive	U+2622
rage	U+1F621
railway_car	U+1F683
railway_track	U+1F6E4
rainbow	U+1F308
rainbow_flag	U+1F3F3 U+1F308
raised_back_of_hand	U+1F91A
raised_eyebrow	U+1F928
raised_hand	U+270B
raised_hand_with_fingers_splayed	U+1F590
raised_hands	U+1F64C
raising_hand	U+1F64B
raising_hand_man	U+1F64B U+2642
raising_hand_woman	U+1F64B U+2640
ram	U+1F40F
ramen	U+1F35C
rat	U+1F400
razor	U+1FA92
receipt	U+1F9FE
record_button	U+23FA
recycle	U+267B
red_car	U+1F697
red_circle	U+1F534
red_envelope	U+1F9E7
red_haired_man	U+1F468 U+1F9B0
red_haired_woman	U+1F469 U+1F9B0
red_square	U+1F7E5
registered	U+00AE
relaxed	U+263A
relieved	U+1F60C
reminder_ribbon	U+1F397
repeat	U+1F501
repeat_one	U+1F502
rescue_worker_helmet	U+26D1
restroom	U+1F6BB
reunion	U+1F1F7 U+1F1EA
revolving_hearts	U+1F49E
rewind	U+23EA
rhinoceros	U+1F98F
ribbon	U+1F380
rice	U+1F35A
rice_ball	U+1F359
rice_cracker	U+1F358
rice_scene	U+1F391
right_anger_bubble	U+1F5EF
ring	U+1F48D
ringed_planet	U+1FA90
robot	U+1F916
rock	U+1FAA8
rocket	U+1F680
rofl	U+1F923
roll_eyes	U+1F644
roll_of_paper	U+1F9FB
roller_coaster	U+1F3A2
roller_skate	U+1F6FC
romania	U+1F1F7 U+1F1F4
rooster	U+1F413
rose	U+1F339
rosette	U+1F3F5
rotating_light	U+1F6A8
round_pushpin	U+1F4CD
rowboat	U+1F6A3
rowing_man	U+1F6A3 U+2642
rowing_woman	U+1F6A3 U+2640
ru	U+1F1F7 U+1F1FA
rugby_football	U+1F3C9
runner	U+1F3C3
running	U+1F3C3
running_man	U+1F3C3 U+2642
running_shirt_with_sash	U+1F3BD
running_woman	U+1F3C3 U+2640
rwanda	U+1F1F7 U+1F1FC
sa	U+1F202
safety_pin	U+1F9F7
safety_vest	U+1F9BA
sagittarius	U+2650
sailboat	U+26F5
sake	U+1F376
salt	U+1F9C2
samoa	U+1F1FC U+1F1F8
san_marino	U+1F1F8 U+1F1F2
sandal	U+1F461
sandwich	U+1F96A
santa	U+1F385
sao_tome_principe	U+1F1F8 U+1F1F9
sari	U+1F97B
sassy_man	U+1F481 U+2642
sassy_woman	U+1F481 U+2640
satellite	U+1F4E1
satisfied	U+1F606
saudi_arabia	U+1F1F8 U+1F1E6
sauna_man	U+1F9D6 U+2642
sauna_person	U+1F9D6
sauna_woman	U+1F9D6 U+2640
sauropod	U+1F995
saxophone	U+1F3B7
scarf	U+1F9E3
school	U+1F3EB
school_satchel	U+1F392
scientist	U+1F9D1 U+1F52C
scissors	U+2702
scorpion	U+1F982
scorpius	U+264F
scotland	U+1F3F4 U+E0067 U+E0062 U+E0073 U+E0063 U+E0074 U+E007F
scream	U+1F631
scream_cat	U+1F640
screwdriver	U+1FA9B
scroll	U+1F4DC
seal	U+1F9AD
seat	U+1F4BA
secret	U+3299
see_no_evil	U+1F648
seedling	U+1F331
selfie	U+1F933
senegal	U+1F1F8 U+1F1F3
serbia	U+1F1F7 U+1F1F8
service_dog	U+1F415 U+1F9BA
seven	U+0037 U+20E3
sewing_needle	U+1FAA1
seychelles	U+1F1F8 U+1F1E8
shallow_pan_of_food	U+1F958
shamrock	U+2618
shark	U+1F988
shaved_ice	U+1F367
sheep	U+1F411
shell	U+1F41A
shield	U+1F6E1
shinto_shrine	U+26E9
ship	U+1F6A2
shirt	U+1F455
shit	U+1F4A9
shoe	U+1F45E
shopping	U+1F6CD
shopping_cart	U+1F6D2
shorts	U+1FA73
shower	U+1F6BF
shrimp	U+1F990
shrug	U+1F937
shushing_face	U+1F92B
sierra_leone	U+1F1F8 U+1F1F1
signal_strength	U+1F4F6
singapore	U+1F1F8 U+1F1EC
singer	U+1F9D1 U+1F3A4
sint_maarten	U+1F1F8 U+1F1FD
six	U+0036 U+20E3
six_pointed_star	U+1F52F
skateboard	U+1F6F9
ski	U+1F3BF
skier	U+26F7
skull	U+1F480
skull_and_crossbones	U+2620
skunk	U+1F9A8
sled	U+1F6F7
sleeping	U+1F634
sleeping_bed	U+1F6CC
sleepy	U+1F62A
slightly_frowning_face	U+1F641
slightly_smiling_face	U+1F642
slot_machine	U+1F3B0
sloth	U+1F9A5
slovakia	U+1F1F8 U+1F1F0
slovenia	U+1F1F8 U+1F1EE
small_airplane	U+1F6E9
small_blue_diamond	U+1F539
small_orange_diamond	U+1F538
small_red_triangle	U+1F53A
small_red_triangle_down	U+1F53B
smile	U+1F604
smile_cat	U+1F638
smiley	U+1F603
smiley_cat	U+1F63A
smiling_face_with_tear	U+1F972
smiling_face_with_three_hearts	U+1F970
smiling_imp	U+1F608
smirk	U+1F60F
smirk_cat	U+1F63C
smoking	U+1F6AC
snail	U+1F40C
snake	U+1F40D
sneezing_face	U+1F927
snowboarder	U+1F3C2
snowflake	U+2744
snowman	U+26C4
snowman_with_snow	U+2603
soap	U+1F9FC
sob	U+1F62D
soccer	U+26BD
socks	U+1F9E6
softball	U+1F94E
solomon_islands	U+1F1F8 U+1F1E7
somalia	U+1F1F8 U+1F1F4
soon	U+1F51C
sos	U+1F198
sound	U+1F509
south_africa	U+1F1FF U+1F1E6
south_georgia_south_sandwich_islands	U+1F1EC U+1F1F8
south_sudan	U+1F1F8 U+1F1F8
space_invader	U+1F47E
spades	U+2660
spaghetti	U+1F35D
sparkle	U+2747
sparkler	U+1F387
sparkles	U+2728
sparkling_heart	U+1F496
speak_no_evil	U+1F64A
speaker	U+1F508
speaking_head	U+1F5E3
speech_balloon	U+1F4AC
speedboat	U+1F6A4
spider	U+1F577
spider_web	U+1F578
spiral_calendar	U+1F5D3
spiral_notepad	U+1F5D2
sponge	U+1F9FD
spoon	U+1F944
squid	U+1F991
sri_lanka	U+1F1F1 U+1F1F0
st_barthelemy	U+1F1E7 U+1F1F1
st_helena	U+1F1F8 U+1F1ED
st_kitts_nevis	U+1F1F0 U+1F1F3
st_lucia	U+1F1F1 U+1F1E8
st_martin	U+1F1F2 U+1F1EB
st_pierre_miquelon	U+1F1F5 U+1F1F2
st_vincent_grenadines	U+1F1FB U+1F1E8
stadium	U+1F3DF
standing_man	U+1F9CD U+2642
standing_person	U+1F9CD
standing_woman	U+1F9CD U+2640
star	U+2B50
star2	U+1F31F
star_and_crescent	U+262A
star_of_david	U+2721
star_struck	U+1F929
stars	U+1F320
station	U+1F689
statue_of_liberty	U+1F5FD
steam_locomotive	U+1F682
stethoscope	U+1FA7A
stew	U+1F372
stop_button	U+23F9
stop_sign	U+1F6D1
stopwatch	U+23F1
straight_ruler	U+1F4CF
strawberry	U+1F353
stuck_out_tongue	U+1F61B
stuck_out_tongue_closed_eyes	U+1F61D
stuck_out_tongue_winking_eye	U+1F61C
student	U+1F9D1 U+1F393
studio_microphone	U+1F399
stuffed_flatbread	U+1F959
sudan	U+1F1F8 U+1F1E9
sun_behind_large_cloud	U+1F325
sun_behind_rain_cloud	U+1F326
sun_behind_small_cloud	U+1F324
sun_with_face	U+1F31E
sunflower	U+1F33B
sunglasses	U+1F60E
sunny	U+2600
sunrise	U+1F305
sunrise_over_mountains	U+1F304
superhero	U+1F9B8
superhero_man	U+1F9B8 U+2642
superhero_woman	U+1F9B8 U+2640
supervillain	U+1F9B9
supervillain_man	U+1F9B9 U+2642
supervillain_woman	U+1F9B9 U+2640
surfer	U+1F3C4
surfing_man	U+1F3C4 U+2642
surfing_woman	U+1F3C4 U+2640
suriname	U+1F1F8 U+1F1F7
sushi	U+1F363
suspension_railway	U+1F69F
svalbard_jan_mayen	U+1F1F8 U+1F1EF
swan	U+1F9A2
swaziland	U+1F1F8 U+1F1FF
sweat	U+1F613
sweat_drops	U+1F4A6
sweat_smile	U+1F605
sweden	U+1F1F8 U+1F1EA
sweet_potato	U+1F360
swim_brief	U+1FA72
swimmer	U+1F3CA
swimming_man	U+1F3CA U+2642
swimming_woman	U+1F3CA U+2640
switzerland	U+1F1E8 U+1F1ED
symbols	U+1F523
synagogue	U+1F54D
syria	U+1F1F8 U+1F1FE
syringe	U+1F489
t-rex	U+1F996
taco	U+1F32E
tada	U+1F389
taiwan	U+1F1F9 U+1F1FC
tajikistan	U+1F1F9 U+1F1EF
takeout_box	U+1F961
tamale	U+1FAD4
tanabata_tree	U+1F38B
tangerine	U+1F34A
tanzania	U+1F1F9 U+1F1FF
taurus	U+2649
taxi	U+1F695
tea	U+1F375
teacher	U+1F9D1 U+1F3EB
teapot	U+1FAD6
technologist	U+1F9D1 U+1F4BB
teddy_bear	U+1F9F8
telephone	U+260E
telephone_receiver	U+1F4DE
telescope	U+1F52D
tennis	U+1F3BE
tent	U+26FA
test_tube	U+1F9EA
thailand	U+1F1F9 U+1F1ED
thermometer	U+1F321
thinking	U+1F914
thong_sandal	U+1FA74
thought_balloon	U+1F4AD
thread	U+1F9F5
three	U+0033 U+20E3
thumbsdown	U+1F44E
thumbsup	U+1F44D
ticket	U+1F3AB
tickets	U+1F39F
tiger	U+1F42F
tiger2	U+1F405
timer_clock	U+23F2
timor_leste	U+1F1F9 U+1F1F1
tipping_hand_man	U+1F481 U+2642
tipping_hand_person	U+1F481
tipping_hand_woman	U+1F481 U+2640
tired_face	U+1F62B
tm	U+2122
togo	U+1F1F9 U+1F1EC
toilet	U+1F6BD
tokelau	U+1F1F9 U+1F1F0
tokyo_tower	U+1F5FC
tomato	U+1F345
tonga	U+1F1F9 U+1F1F4
tongue	U+1F445
toolbox	U+1F9F0
tooth	U+1F9B7
toothbrush	U+1FAA5
top	U+1F51D
tophat	U+1F3A9
tornado	U+1F32A
tr	U+1F1F9 U+1F1F7
trackball	U+1F5B2
tractor	U+1F69C
traffic_light	U+1F6A5
train	U+1F68B
train2	U+1F686
tram	U+1F68A
transgender_flag	U+1F3F3 U+26A7
transgender_symbol	U+26A7
triangular_flag_on_post	U+1F6A9
triangular_ruler	U+1F4D0
trident	U+1F531
trinidad_tobago	U+1F1F9 U+1F1F9
tristan_da_cunha	U+1F1F9 U+1F1E6
triumph	U+1F624
trolleybus	U+1F68E
trophy	U+1F3C6
tropical_drink	U+1F379
tropical_fish	U+1F420
truck	U+1F69A
trumpet	U+1F3BA
tshirt	U+1F455
tulip	U+1F337
tumbler_glass	U+1F943
tunisia	U+1F1F9 U+1F1F3
turkey	U+1F983
turkmenistan	U+1F1F9 U+1F1F2
turks_caicos_islands	U+1F1F9 U+1F1E8
turtle	U+1F422
tuvalu	U+1F1F9 U+1F1FB
tv	U+1F4FA
twisted_rightwards_arrows	U+1F500
two	U+0032 U+20E3
two_hearts	U+1F495
two_men_holding_hands	U+1F46C
two_women_holding_hands	U+1F46D
u5272	U+1F239
u5408	U+1F234
u55b6	U+1F23A
u6307	U+1F22F
u6708	U+1F237
u6709	U+1F236
u6e80	U+1F235
u7121	U+1F21A
u7533	U+1F238
u7981	U+1F232
u7a7a	U+1F233
uganda	U+1F1FA U+1F1EC
uk	U+1F1EC U+1F1E7
ukraine	U+1F1FA U+1F1E6
umbrella	U+2614
unamused	U+1F612
underage	U+1F51E
unicorn	U+1F984
united_arab_emirates	U+1F1E6 U+1F1EA
united_nations	U+1F1FA U+1F1F3
unlock	U+1F513
up	U+1F199
upside_down_face	U+1F643
uruguay	U+1F1FA U+1F1FE
us	U+1F1FA U+1F1F8
us_outlying_islands	U+1F1FA U+1F1F2
us_virgin_islands	U+1F1FB U+1F1EE
uzbekistan	U+1F1FA U+1F1FF
v	U+270C
vampire	U+1F9DB
vampire_man	U+1F9DB U+2642
vampire_woman	U+1F9DB U+2640
vanuatu	U+1F1FB U+1F1FA
vatican_city	U+1F1FB U+1F1E6
venezuela	U+1F1FB U+1F1EA
vertical_traffic_light	U+1F6A6
vhs	U+1F4FC
vibration_mode	U+1F4F3
video_camera	U+1F4F9
video_game	U+1F3AE
vietnam	U+1F1FB U+1F1F3
violin	U+1F3BB
virgo	U+264D
volcano	U+1F30B
volleyball	U+1F3D0
vomiting_face	U+1F92E
vs	U+1F19A
vulcan_salute	U+1F596
waffle	U+1F9C7
wales	U+1F3F4 U+E0067 U+E0062 U+E0077 U+E006C U+E0073 U+E007F
walking	U+1F6B6
walking_man	U+1F6B6 U+2642
walking_woman	U+1F6B6 U+2640
wallis_futuna	U+1F1FC U+1F1EB
waning_crescent_moon	U+1F318
waning_gibbous_moon	U+1F316
warning	U+26A0
wastebasket	U+1F5D1
watch	U+231A
water_buffalo	U+1F403
water_polo	U+1F93D
watermelon	U+1F349
wave	U+1F44B
wavy_dash	U+3030
waxing_crescent_moon	U+1F312
waxing_gibbous_moon	U+1F314
wc	U+1F6BE
weary	U+1F629
wedding	U+1F492
weight_lifting	U+1F3CB
weight_lifting_man	U+1F3CB U+2642
weight_lifting_woman	U+1F3CB U+2640
western_sahara	U+1F1EA U+1F1ED
whale	U+1F433
whale2	U+1F40B
wheel_of_dharma	U+2638
wheelchair	U+267F
white_check_mark	U+2705
white_circle	U+26AA
white_flag	U+1F3F3
white_flower	U+1F4AE
white_haired_man	U+1F468 U+1F9B3
white_haired_woman	U+1F469 U+1F9B3
white_heart	U+1F90D
white_large_square	U+2B1C
white_medium_small_square	U+25FD
white_medium_square	U+25FB
white_small_square	U+25AB
white_square_button	U+1F533
wilted_flower	U+1F940
wind_chime	U+1F390
wind_face	U+1F32C
window	U+1FA9F
wine_glass	U+1F377
wink	U+1F609
wolf	U+1F43A
woman	U+1F469
woman_artist	U+1F469 U+1F3A8
woman_astronaut	U+1F469 U+1F680
woman_beard	U+1F9D4 U+2640
woman_cartwheeling	U+1F938 U+2640
woman_cook	U+1F469 U+1F373
woman_dancing	U+1F483
woman_facepalming	U+1F926 U+2640
woman_factory_worker	U+1F469 U+1F3ED
woman_farmer	U+1F469 U+1F33E
woman_feeding_baby	U+1F469 U+1F37C
woman_firefighter	U+1F469 U+1F692
woman_health_worker	U+1F469 U+2695
woman_in_manual_wheelchair	U+1F469 U+1F9BD
woman_in_motorized_wheelchair	U+1F469 U+1F9BC
woman_in_tuxedo	U+1F935 U+2640
woman_judge	U+1F469 U+2696
woman_juggling	U+1F939 U+2640
woman_mechanic	U+1F469 U+1F527
woman_office_worker	U+1F469 U+1F4BC
woman_pilot	U+1F469 U+2708
woman_playing_handball	U+1F93E U+2640
woman_playing_water_polo	U+1F93D U+2640
woman_scientist	U+1F469 U+1F52C
woman_shrugging	U+1F937 U+2640
woman_singer	U+1F469 U+1F3A4
woman_student	U+1F469 U+1F393
woman_teacher	U+1F469 U+1F3EB
woman_technologist	U+1F469 U+1F4BB
woman_with_headscarf	U+1F9D5
woman_with_probing_cane	U+1F469 U+1F9AF
woman_with_turban	U+1F473 U+2640
woman_with_veil	U+1F470 U+2640
womans_clothes	U+1F45A
womans_hat	U+1F452
women_wrestling	U+1F93C U+2640
womens	U+1F6BA
wood	U+1FAB5
woozy_face	U+1F974
world_map	U+1F5FA
worm	U+1FAB1
worried	U+1F61F
wrench	U+1F527
wrestling	U+1F93C
writing_hand	U+270D
x	U+274C
yarn	U+1F9F6
yawning_face	U+1F971
yellow_circle	U+1F7E1
yellow_heart	U+1F49B
yellow_square	U+1F7E8
yemen	U+1F1FE U+1F1EA
yen	U+1F4B4
yin_yang	U+262F
yo_yo	U+1FA80
yum	U+1F60B
zambia	U+1F1FF U+1F1F2
zany_face	U+1F92A
zap	U+26A1
zebra	U+1F993
zero	U+0030 U+20E3
zimbabwe	U+1F1FF U+1F1FC
zipper_mouth_face	U+1F910
zombie	U+1F9DF
zombie_man	U+1F9DF U+2642
zombie_woman	U+1F9DF U+2640
zzz	U+1F4A4
